數據分析師/ Data Analyst,安布思沛行銷股份有限公司,https://www.104.com.tw/company/1a2x6biool,不拘, 熟悉R或Python語言, 具數據分析及建模的經驗, 至少1個從資料擷取、資料整理、資料分析到建立洞察或模型的實務經驗, 進階統計模型(Regression Clustering Segmentation...) 的應用經驗, 至少1個參與數據產品開發的經驗佳, 具備以下經驗者優先考慮: 開發客製化分析模型或流程、製作商業智慧儀錶板、GCP、AWS、Azure、Linux 指令操作、SQL、熟悉 Machine Learning Model, 持有「數位人才探索計劃」相關證照的申請者有優先面試機會（Google Ads 搜尋廣告認證、Google Ads 影音廣告認證、Google Analytics個人認證，詳情請洽數位人才探索計劃網站）
數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,1年以上,對數理與數字清晰 ,具備良好的邏輯思考,,,,,
奧斯卡寵物連鎖-會計經理(關係企業),東森新媒體控股股份有限公司,https://www.104.com.tw/company/b6ctt6w,8年以上,,,,,,,
網路行銷經理,眾匯智能健康股份有限公司,https://www.104.com.tw/company/7hqkeah,不拘,具基礎數據分析及運用能力,熟悉GA工具及分析，具GA相關認證佳,探索各種行銷科技(MarTech)之使用,探索科技對健康照護之創新運用具高度熱情者,,,
數據分析師,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc,不拘,,,,,,,
資深數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,2年以上,,,,,,,
數據分析師,台北神策諮詢顧問有限公司,https://www.104.com.tw/company/1a2x6bl2g9,不拘,,,,,,,
數據分析專員,總公司_長頸鹿文化事業股份有限公司,https://www.104.com.tw/company/13nmrkig,5年以上,具統計及數據挖掘方法的知識與實務經驗，如：分類分群、推薦、回歸、建模等。 ,具優秀的數據分析能力，有豐富的數據驅動業務的實戰經驗。,具Data Mining、Machine learningt概念尤佳 。,具高度溝通技巧及表達能力。,熟悉資料庫運用。,,
數據分析師/ Data Analyst,安布思沛行銷股份有限公司,https://www.104.com.tw/company/1a2x6biool,不拘, 熟悉R或Python語言, 具數據分析及建模的經驗, 至少1個從資料擷取、資料整理、資料分析到建立洞察或模型的實務經驗, 進階統計模型(Regression Clustering Segmentation...) 的應用經驗, 至少1個參與數據產品開發的經驗佳, 具備以下經驗者優先考慮: 開發客製化分析模型或流程、製作商業智慧儀錶板、GCP、AWS、Azure、Linux 指令操作、SQL、熟悉 Machine Learning Model, 持有「數位人才探索計劃」相關證照的申請者有優先面試機會（Google Ads 搜尋廣告認證、Google Ads 影音廣告認證、Google Analytics個人認證，詳情請洽數位人才探索計劃網站）
數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,1年以上,對數理與數字清晰 ,具備良好的邏輯思考,,,,,
數據分析師,彩得線上娛樂股份有限公司,https://www.104.com.tw/company/b9056ig,不拘, 熟悉統計分析軟體( ex: SAS、Python…)優先考慮, 有團隊合作經驗、具備良好協通能力, 熟悉資料庫運用,,,,
奧斯卡寵物連鎖-會計經理(關係企業),東森新媒體控股股份有限公司,https://www.104.com.tw/company/b6ctt6w,8年以上,,,,,,,
網路行銷經理,眾匯智能健康股份有限公司,https://www.104.com.tw/company/7hqkeah,不拘,具基礎數據分析及運用能力,熟悉GA工具及分析，具GA相關認證佳,探索各種行銷科技(MarTech)之使用,探索科技對健康照護之創新運用具高度熱情者,,,
數據分析師,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc,不拘,,,,,,,
資深數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,2年以上,,,,,,,
數據分析師,台北神策諮詢顧問有限公司,https://www.104.com.tw/company/1a2x6bl2g9,不拘,,,,,,,
數據分析專員,總公司_長頸鹿文化事業股份有限公司,https://www.104.com.tw/company/13nmrkig,5年以上,具統計及數據挖掘方法的知識與實務經驗，如：分類分群、推薦、回歸、建模等。 ,具優秀的數據分析能力，有豐富的數據驅動業務的實戰經驗。,具Data Mining、Machine learningt概念尤佳 。,具高度溝通技巧及表達能力。,熟悉資料庫運用。,,
數據分析師/ Data Analyst,安布思沛行銷股份有限公司,https://www.104.com.tw/company/1a2x6biool,不拘, 熟悉R或Python語言, 具數據分析及建模的經驗, 至少1個從資料擷取、資料整理、資料分析到建立洞察或模型的實務經驗, 進階統計模型(Regression Clustering Segmentation...) 的應用經驗, 至少1個參與數據產品開發的經驗佳, 具備以下經驗者優先考慮: 開發客製化分析模型或流程、製作商業智慧儀錶板、GCP、AWS、Azure、Linux 指令操作、SQL、熟悉 Machine Learning Model, 持有「數位人才探索計劃」相關證照的申請者有優先面試機會（Google Ads 搜尋廣告認證、Google Ads 影音廣告認證、Google Analytics個人認證，詳情請洽數位人才探索計劃網站）
數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,1年以上,對數理與數字清晰 ,具備良好的邏輯思考,,,,,
數據分析師,彩得線上娛樂股份有限公司,https://www.104.com.tw/company/b9056ig,不拘, 熟悉統計分析軟體( ex: SAS、Python…)優先考慮, 有團隊合作經驗、具備良好協通能力, 熟悉資料庫運用,,,,
數據分析師,傑思愛德威媒體股份有限公司,https://www.104.com.tw/company/cqtnz28,4年以上,,,,,,,
奧斯卡寵物連鎖-會計經理(關係企業),東森新媒體控股股份有限公司,https://www.104.com.tw/company/b6ctt6w,8年以上,,,,,,,
網路行銷經理,眾匯智能健康股份有限公司,https://www.104.com.tw/company/7hqkeah,不拘,具基礎數據分析及運用能力,熟悉GA工具及分析，具GA相關認證佳,探索各種行銷科技(MarTech)之使用,探索科技對健康照護之創新運用具高度熱情者,,,
數據分析師,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc,不拘,,,,,,,
資深數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,2年以上,,,,,,,
數據分析師,台北神策諮詢顧問有限公司,https://www.104.com.tw/company/1a2x6bl2g9,不拘,,,,,,,
數據分析專員,總公司_長頸鹿文化事業股份有限公司,https://www.104.com.tw/company/13nmrkig,5年以上,具統計及數據挖掘方法的知識與實務經驗，如：分類分群、推薦、回歸、建模等。 ,具優秀的數據分析能力，有豐富的數據驅動業務的實戰經驗。,具Data Mining、Machine learningt概念尤佳 。,具高度溝通技巧及表達能力。,熟悉資料庫運用。,,
數據分析師/ Data Analyst,安布思沛行銷股份有限公司,https://www.104.com.tw/company/1a2x6biool,不拘, 熟悉R或Python語言, 具數據分析及建模的經驗, 至少1個從資料擷取、資料整理、資料分析到建立洞察或模型的實務經驗, 進階統計模型(Regression Clustering Segmentation...) 的應用經驗, 至少1個參與數據產品開發的經驗佳, 具備以下經驗者優先考慮: 開發客製化分析模型或流程、製作商業智慧儀錶板、GCP、AWS、Azure、Linux 指令操作、SQL、熟悉 Machine Learning Model, 持有「數位人才探索計劃」相關證照的申請者有優先面試機會（Google Ads 搜尋廣告認證、Google Ads 影音廣告認證、Google Analytics個人認證，詳情請洽數位人才探索計劃網站）
數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,1年以上,對數理與數字清晰 ,具備良好的邏輯思考,,,,,
數據分析師,彩得線上娛樂股份有限公司,https://www.104.com.tw/company/b9056ig,不拘, 熟悉統計分析軟體( ex: SAS、Python…)優先考慮, 有團隊合作經驗、具備良好協通能力, 熟悉資料庫運用,,,,
數據分析師,傑思愛德威媒體股份有限公司,https://www.104.com.tw/company/cqtnz28,4年以上,,,,,,,
數據分析師,雨林新零售股份有限公司,https://www.104.com.tw/company/1a2x6bl2oi,2年以上,,,,,,,
奧斯卡寵物連鎖-會計經理(關係企業),東森新媒體控股股份有限公司,https://www.104.com.tw/company/b6ctt6w,8年以上,,,,,,,
網路行銷經理,眾匯智能健康股份有限公司,https://www.104.com.tw/company/7hqkeah,不拘,具基礎數據分析及運用能力,熟悉GA工具及分析，具GA相關認證佳,探索各種行銷科技(MarTech)之使用,探索科技對健康照護之創新運用具高度熱情者,,,
數據分析師,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc,不拘,,,,,,,
資深數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,2年以上,,,,,,,
數據分析師,台北神策諮詢顧問有限公司,https://www.104.com.tw/company/1a2x6bl2g9,不拘,,,,,,,
數據分析專員,總公司_長頸鹿文化事業股份有限公司,https://www.104.com.tw/company/13nmrkig,5年以上,具統計及數據挖掘方法的知識與實務經驗，如：分類分群、推薦、回歸、建模等。 ,具優秀的數據分析能力，有豐富的數據驅動業務的實戰經驗。,具Data Mining、Machine learningt概念尤佳 。,具高度溝通技巧及表達能力。,熟悉資料庫運用。,,
數據分析師/ Data Analyst,安布思沛行銷股份有限公司,https://www.104.com.tw/company/1a2x6biool,不拘, 熟悉R或Python語言, 具數據分析及建模的經驗, 至少1個從資料擷取、資料整理、資料分析到建立洞察或模型的實務經驗, 進階統計模型(Regression Clustering Segmentation...) 的應用經驗, 至少1個參與數據產品開發的經驗佳, 具備以下經驗者優先考慮: 開發客製化分析模型或流程、製作商業智慧儀錶板、GCP、AWS、Azure、Linux 指令操作、SQL、熟悉 Machine Learning Model, 持有「數位人才探索計劃」相關證照的申請者有優先面試機會（Google Ads 搜尋廣告認證、Google Ads 影音廣告認證、Google Analytics個人認證，詳情請洽數位人才探索計劃網站）
數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,1年以上,對數理與數字清晰 ,具備良好的邏輯思考,,,,,
數據分析師,彩得線上娛樂股份有限公司,https://www.104.com.tw/company/b9056ig,不拘, 熟悉統計分析軟體( ex: SAS、Python…)優先考慮, 有團隊合作經驗、具備良好協通能力, 熟悉資料庫運用,,,,
數據分析師,傑思愛德威媒體股份有限公司,https://www.104.com.tw/company/cqtnz28,4年以上,,,,,,,
數據分析師,雨林新零售股份有限公司,https://www.104.com.tw/company/1a2x6bl2oi,2年以上,,,,,,,
數據分析師,弈樂科技股份有限公司,https://www.104.com.tw/company/1a2x6bkrny,不拘,有使用R、Tableau、PowerBi、Google Data Studio、Google Sheet、Google Slides、SQL(DQL)使用經驗尤佳 ,R、Java、C、C++、C#、Python、Matlab至少熟悉其中一項的使用 ,有Data Mining、Machine Learning概念尤佳 ,必須攜帶以下文件應試 ,攜帶以下文件應試者尤佳: ,,
奧斯卡寵物連鎖-會計經理(關係企業),東森新媒體控股股份有限公司,https://www.104.com.tw/company/b6ctt6w,8年以上,,,,,,,
網路行銷經理,眾匯智能健康股份有限公司,https://www.104.com.tw/company/7hqkeah,不拘,具基礎數據分析及運用能力,熟悉GA工具及分析，具GA相關認證佳,探索各種行銷科技(MarTech)之使用,探索科技對健康照護之創新運用具高度熱情者,,,
數據分析師,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc,不拘,,,,,,,
資深數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,2年以上,,,,,,,
數據分析師,台北神策諮詢顧問有限公司,https://www.104.com.tw/company/1a2x6bl2g9,不拘,,,,,,,
數據分析專員,總公司_長頸鹿文化事業股份有限公司,https://www.104.com.tw/company/13nmrkig,5年以上,具統計及數據挖掘方法的知識與實務經驗，如：分類分群、推薦、回歸、建模等。 ,具優秀的數據分析能力，有豐富的數據驅動業務的實戰經驗。,具Data Mining、Machine learningt概念尤佳 。,具高度溝通技巧及表達能力。,熟悉資料庫運用。,,
數據分析師/ Data Analyst,安布思沛行銷股份有限公司,https://www.104.com.tw/company/1a2x6biool,不拘, 熟悉R或Python語言, 具數據分析及建模的經驗, 至少1個從資料擷取、資料整理、資料分析到建立洞察或模型的實務經驗, 進階統計模型(Regression Clustering Segmentation...) 的應用經驗, 至少1個參與數據產品開發的經驗佳, 具備以下經驗者優先考慮: 開發客製化分析模型或流程、製作商業智慧儀錶板、GCP、AWS、Azure、Linux 指令操作、SQL、熟悉 Machine Learning Model, 持有「數位人才探索計劃」相關證照的申請者有優先面試機會（Google Ads 搜尋廣告認證、Google Ads 影音廣告認證、Google Analytics個人認證，詳情請洽數位人才探索計劃網站）
數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,1年以上,對數理與數字清晰 ,具備良好的邏輯思考,,,,,
數據分析師,彩得線上娛樂股份有限公司,https://www.104.com.tw/company/b9056ig,不拘, 熟悉統計分析軟體( ex: SAS、Python…)優先考慮, 有團隊合作經驗、具備良好協通能力, 熟悉資料庫運用,,,,
數據分析師,傑思愛德威媒體股份有限公司,https://www.104.com.tw/company/cqtnz28,4年以上,,,,,,,
數據分析師,雨林新零售股份有限公司,https://www.104.com.tw/company/1a2x6bl2oi,2年以上,,,,,,,
數據分析師,弈樂科技股份有限公司,https://www.104.com.tw/company/1a2x6bkrny,不拘,有使用R、Tableau、PowerBi、Google Data Studio、Google Sheet、Google Slides、SQL(DQL)使用經驗尤佳 ,R、Java、C、C++、C#、Python、Matlab至少熟悉其中一項的使用 ,有Data Mining、Machine Learning概念尤佳 ,必須攜帶以下文件應試 ,攜帶以下文件應試者尤佳: ,,
數據分析師,新博軟體開發股份有限公司,https://www.104.com.tw/company/1a2x6bjqnj,1年以上,,,,,,,
奧斯卡寵物連鎖-會計經理(關係企業),東森新媒體控股股份有限公司,https://www.104.com.tw/company/b6ctt6w,8年以上,,,,,,,
網路行銷經理,眾匯智能健康股份有限公司,https://www.104.com.tw/company/7hqkeah,不拘,具基礎數據分析及運用能力,熟悉GA工具及分析，具GA相關認證佳,探索各種行銷科技(MarTech)之使用,探索科技對健康照護之創新運用具高度熱情者,,,
數據分析師,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc,不拘,,,,,,,
資深數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,2年以上,,,,,,,
數據分析師,台北神策諮詢顧問有限公司,https://www.104.com.tw/company/1a2x6bl2g9,不拘,,,,,,,
數據分析專員,總公司_長頸鹿文化事業股份有限公司,https://www.104.com.tw/company/13nmrkig,5年以上,具統計及數據挖掘方法的知識與實務經驗，如：分類分群、推薦、回歸、建模等。 ,具優秀的數據分析能力，有豐富的數據驅動業務的實戰經驗。,具Data Mining、Machine learningt概念尤佳 。,具高度溝通技巧及表達能力。,熟悉資料庫運用。,,
數據分析師/ Data Analyst,安布思沛行銷股份有限公司,https://www.104.com.tw/company/1a2x6biool,不拘, 熟悉R或Python語言, 具數據分析及建模的經驗, 至少1個從資料擷取、資料整理、資料分析到建立洞察或模型的實務經驗, 進階統計模型(Regression Clustering Segmentation...) 的應用經驗, 至少1個參與數據產品開發的經驗佳, 具備以下經驗者優先考慮: 開發客製化分析模型或流程、製作商業智慧儀錶板、GCP、AWS、Azure、Linux 指令操作、SQL、熟悉 Machine Learning Model, 持有「數位人才探索計劃」相關證照的申請者有優先面試機會（Google Ads 搜尋廣告認證、Google Ads 影音廣告認證、Google Analytics個人認證，詳情請洽數位人才探索計劃網站）
數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,1年以上,對數理與數字清晰 ,具備良好的邏輯思考,,,,,
數據分析師,彩得線上娛樂股份有限公司,https://www.104.com.tw/company/b9056ig,不拘, 熟悉統計分析軟體( ex: SAS、Python…)優先考慮, 有團隊合作經驗、具備良好協通能力, 熟悉資料庫運用,,,,
數據分析師,傑思愛德威媒體股份有限公司,https://www.104.com.tw/company/cqtnz28,4年以上,,,,,,,
數據分析師,雨林新零售股份有限公司,https://www.104.com.tw/company/1a2x6bl2oi,2年以上,,,,,,,
數據分析師,弈樂科技股份有限公司,https://www.104.com.tw/company/1a2x6bkrny,不拘,有使用R、Tableau、PowerBi、Google Data Studio、Google Sheet、Google Slides、SQL(DQL)使用經驗尤佳 ,R、Java、C、C++、C#、Python、Matlab至少熟悉其中一項的使用 ,有Data Mining、Machine Learning概念尤佳 ,必須攜帶以下文件應試 ,攜帶以下文件應試者尤佳: ,,
數據分析師,新博軟體開發股份有限公司,https://www.104.com.tw/company/1a2x6bjqnj,1年以上,,,,,,,
JUKSY街星 數據分析師,捷喜多媒體數位股份有限公司,https://www.104.com.tw/company/ohxuigw,1年以上,,,,,,,
奧斯卡寵物連鎖-會計經理(關係企業),東森新媒體控股股份有限公司,https://www.104.com.tw/company/b6ctt6w,8年以上,,,,,,,
網路行銷經理,眾匯智能健康股份有限公司,https://www.104.com.tw/company/7hqkeah,不拘,具基礎數據分析及運用能力,熟悉GA工具及分析，具GA相關認證佳,探索各種行銷科技(MarTech)之使用,探索科技對健康照護之創新運用具高度熱情者,,,
數據分析師,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc,不拘,,,,,,,
資深數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,2年以上,,,,,,,
數據分析師,台北神策諮詢顧問有限公司,https://www.104.com.tw/company/1a2x6bl2g9,不拘,,,,,,,
數據分析專員,總公司_長頸鹿文化事業股份有限公司,https://www.104.com.tw/company/13nmrkig,5年以上,具統計及數據挖掘方法的知識與實務經驗，如：分類分群、推薦、回歸、建模等。 ,具優秀的數據分析能力，有豐富的數據驅動業務的實戰經驗。,具Data Mining、Machine learningt概念尤佳 。,具高度溝通技巧及表達能力。,熟悉資料庫運用。,,
數據分析師/ Data Analyst,安布思沛行銷股份有限公司,https://www.104.com.tw/company/1a2x6biool,不拘, 熟悉R或Python語言, 具數據分析及建模的經驗, 至少1個從資料擷取、資料整理、資料分析到建立洞察或模型的實務經驗, 進階統計模型(Regression Clustering Segmentation...) 的應用經驗, 至少1個參與數據產品開發的經驗佳, 具備以下經驗者優先考慮: 開發客製化分析模型或流程、製作商業智慧儀錶板、GCP、AWS、Azure、Linux 指令操作、SQL、熟悉 Machine Learning Model, 持有「數位人才探索計劃」相關證照的申請者有優先面試機會（Google Ads 搜尋廣告認證、Google Ads 影音廣告認證、Google Analytics個人認證，詳情請洽數位人才探索計劃網站）
數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,1年以上,對數理與數字清晰 ,具備良好的邏輯思考,,,,,
數據分析師,彩得線上娛樂股份有限公司,https://www.104.com.tw/company/b9056ig,不拘, 熟悉統計分析軟體( ex: SAS、Python…)優先考慮, 有團隊合作經驗、具備良好協通能力, 熟悉資料庫運用,,,,
數據分析師,傑思愛德威媒體股份有限公司,https://www.104.com.tw/company/cqtnz28,4年以上,,,,,,,
數據分析師,雨林新零售股份有限公司,https://www.104.com.tw/company/1a2x6bl2oi,2年以上,,,,,,,
數據分析師,弈樂科技股份有限公司,https://www.104.com.tw/company/1a2x6bkrny,不拘,有使用R、Tableau、PowerBi、Google Data Studio、Google Sheet、Google Slides、SQL(DQL)使用經驗尤佳 ,R、Java、C、C++、C#、Python、Matlab至少熟悉其中一項的使用 ,有Data Mining、Machine Learning概念尤佳 ,必須攜帶以下文件應試 ,攜帶以下文件應試者尤佳: ,,
數據分析師,新博軟體開發股份有限公司,https://www.104.com.tw/company/1a2x6bjqnj,1年以上,,,,,,,
JUKSY街星 數據分析師,捷喜多媒體數位股份有限公司,https://www.104.com.tw/company/ohxuigw,1年以上,,,,,,,
統一超商數據分析管理師,統一超商股份有限公司,https://www.104.com.tw/company/ad0nzp4,2年以上,大學(含)以上畢業相關工作經驗二年以上。,具市場調查經驗、調查報告分析與撰寫能力並對數據分析有熱忱。,備資料庫及資料倉儲專業知識與工具技術熟悉SQL語法、ETL、商業智慧軟體、數據分析工具R或Python。,,,,
奧斯卡寵物連鎖-會計經理(關係企業),東森新媒體控股股份有限公司,https://www.104.com.tw/company/b6ctt6w,8年以上,,,,,,,
網路行銷經理,眾匯智能健康股份有限公司,https://www.104.com.tw/company/7hqkeah,不拘,具基礎數據分析及運用能力,熟悉GA工具及分析，具GA相關認證佳,探索各種行銷科技(MarTech)之使用,探索科技對健康照護之創新運用具高度熱情者,,,
數據分析師,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc,不拘,,,,,,,
資深數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,2年以上,,,,,,,
數據分析師,台北神策諮詢顧問有限公司,https://www.104.com.tw/company/1a2x6bl2g9,不拘,,,,,,,
數據分析專員,總公司_長頸鹿文化事業股份有限公司,https://www.104.com.tw/company/13nmrkig,5年以上,具統計及數據挖掘方法的知識與實務經驗，如：分類分群、推薦、回歸、建模等。 ,具優秀的數據分析能力，有豐富的數據驅動業務的實戰經驗。,具Data Mining、Machine learningt概念尤佳 。,具高度溝通技巧及表達能力。,熟悉資料庫運用。,,
數據分析師/ Data Analyst,安布思沛行銷股份有限公司,https://www.104.com.tw/company/1a2x6biool,不拘, 熟悉R或Python語言, 具數據分析及建模的經驗, 至少1個從資料擷取、資料整理、資料分析到建立洞察或模型的實務經驗, 進階統計模型(Regression Clustering Segmentation...) 的應用經驗, 至少1個參與數據產品開發的經驗佳, 具備以下經驗者優先考慮: 開發客製化分析模型或流程、製作商業智慧儀錶板、GCP、AWS、Azure、Linux 指令操作、SQL、熟悉 Machine Learning Model, 持有「數位人才探索計劃」相關證照的申請者有優先面試機會（Google Ads 搜尋廣告認證、Google Ads 影音廣告認證、Google Analytics個人認證，詳情請洽數位人才探索計劃網站）
數據分析師,囍多娛樂有限公司,https://www.104.com.tw/company/1a2x6bl1zp,1年以上,對數理與數字清晰 ,具備良好的邏輯思考,,,,,
數據分析師,彩得線上娛樂股份有限公司,https://www.104.com.tw/company/b9056ig,不拘, 熟悉統計分析軟體( ex: SAS、Python…)優先考慮, 有團隊合作經驗、具備良好協通能力, 熟悉資料庫運用,,,,
數據分析師,傑思愛德威媒體股份有限公司,https://www.104.com.tw/company/cqtnz28,4年以上,,,,,,,
